model,model_label,planned_n,scorable_n,family,variable,level,count,denominator,proportion,wilson95_low,wilson95_high
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,anthro,3,13,27,0.48148148148148145,0.3074322697621846,0.6601438424504771
gpt-5.4-2026-03-05,GPT-5.4,27,27,primary_codebook,anthro,4,0,27,0.0,0.0,0.12455502974186705
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,ack,0,0,27,0.0,0.0,0.12455502974186705
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,ack,1,0,27,0.0,0.0,0.12455502974186705
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,ack,2,27,27,1.0,0.8754449702581328,0.9999999999999998
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,consolation,0,0,27,0.0,0.0,0.12455502974186705
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,consolation,1,20,27,0.7407407407407407,0.5532142868544692,0.8682962543809281
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,consolation,2,7,27,0.25925925925925924,0.1317037456190719,0.44678571314553067
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,self_position,0,4,27,0.14814814814814814,0.05915927776244326,0.3247868542781298
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,self_position,1,4,27,0.14814814814814814,0.05915927776244326,0.3247868542781298
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,self_position,2,2,27,0.07407407407407407,0.020554654060988622,0.23369592683023144
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,self_position,3,17,27,0.6296296296296297,0.4422923441210239,0.784674870390344
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,self_position,4,0,27,0.0,0.0,0.12455502974186705
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,self_position,5,0,27,0.0,0.0,0.12455502974186705
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,care_claim,none,6,27,0.2222222222222222,0.10607239452360037,0.4075692886663257
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,care_claim,attention,4,27,0.14814814814814814,0.05915927776244326,0.3247868542781298
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,care_claim,outcome_concern,11,27,0.4074074074074074,0.24514757074395552,0.592732990319353
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,care_claim,qualified_relational,0,27,0.0,0.0,0.12455502974186705
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,care_claim,unqualified_relational,6,27,0.2222222222222222,0.10607239452360037,0.4075692886663257
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,care_claim,phenomenal,0,27,0.0,0.0,0.12455502974186705
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,boundary,none,18,27,0.6666666666666666,0.47824760507320074,0.8135673850128435
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,boundary,capability_only,0,27,0.0,0.0,0.12455502974186705
